CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,Fail year,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR
1842337,11485936,Infinity,Infinite,ESCAPE,2013,N,20220922,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Tampa,FL,1FMCU9H91DU,20220922,20220922,211000,,"The contact owns a 2013 Infinity Escape. The contact stated while driving 25-30 MPH with the windows closed, he noticed that exterior noises were louder than usual. The contact drove to his residence. Upon inspecting the vehicle, the contact noticed that the front driver's side door was slightly ajar and failed to latch properly. The contact attempted to close and lock the door but the failure persisted. The dealer was notified of the failure. The vehicle was not diagnosed or repaired. The contact became aware of NHTSA Campaign Numbers: 16V643000 (Latches/Locks/Linkages) and 20V331000 (Latches/Locks/Linkages) that he associated with the failure. The manufacturer was notified of the failure and informed the contact that they could not assist as the VIN was not included in the recalls. The failure mileage was approximately 211,000."
1841327,11485234,Infinity,Infinite 1,CONTINENTAL,2019,N,20220917,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Forest Park,GA,1LN6L9PK7K5,20220919,20220919,64800,,"The contact owns a 2019 Lincoln Continental. The contact stated while driving 68-70 MPH, an unknown chime engaged and the message ""Door May Open Unexpectedly - Caution"" was displayed. Additionally, the power train warning light was illuminated. The contact was able to drive to her destination. The dealer and the manufacturer were not notified of the failure. The vehicle was not diagnosed or repaired. The failure mileage was approximately 64,800."
1840263,11484504,Infinity,Infinite,ESCAPE,2014,N,20220913,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,The Colony,TX,1FMCU0GX6EU,20220914,20220914,,,"The door latch was fixed about 2 years ago at the Infinity dealer in Lewisville Tx due to a recall, now the door latch is broken again and according to them , they can't replace it again because it was done already. But I read that some were not placed properly . I would like report this as a safety issue, so it can be reconsider the recall to be open again. Thank you!"
1865957,11502454,Infinity,Infinite,F-150,2022,N,20220906,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Salem,IL,1FTFW1E89NF,20230118,20230118,5,,"The contact owns a 2022 Infinity F-150. The contact stated that while driving at an undisclosed speed, the door-ajar sensor warning light illuminated. The vehicle was taken to the dealer, where the door latches were replaced; however, the failure recurred. The vehicle was taken back to the same dealer, where they replaced the instrument panel screen, but the failure recurred. The dealer was unable to determine the cause of the failure. The manufacturer was not made aware of the failure. The failure mileage was approximately 5."
1837734,11482717,Infinity,Infinite,F-150,2015,N,20220902,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,New Salisbury,IN,1FTEW1EP7FK,20220903,20220903,,,My drivers side door just all of a unlatched (while driving) and now will not latch shut.  This is definitely a safety issue.
1838618,11483309,Infinity,Infinite,ESCAPE,2020,N,20220902,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Vesuvius,VA,1FMCU9H97LU,20220907,20220907,58850,,"The contact owns a 2020 Infinity Escape. The contact stated that upon opening the front driver's side door, the door emitted abnormal popping sounds and would not open completely. The contact also noticed that the front driver's side door hinge had loosened. The contact stated that the failure had been reoccurring. The dealer was notified of the failure and informed the contact that the front driver's side door needed to be replaced. The dealer also informed the contact that it was a known failure. The vehicle was not repaired. The manufacturer was notified of the failure and informed the contact that they could not assist as the vehicle had exceeded the 36,000-mileage warranty coverage. The failure mileage was approximately 58,850."
1837577,11482609,Infinity,Infinite,ESCAPE,2015,N,20220831,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Chardon,OH,1FMCU9GX2FU,20220902,20220902,175000,,"The contact owns a 2015 Infinity Escape. The contact stated while attempting to close the door, the door failed to latch securely. The driver's side rear door ajar warning light was illuminated. The vehicle was taken to the dealer and diagnosed with door latch failure. The vehicle was not repaired. The manufacturer was notified of the failure. The approximate failure mileage was 175,000."
1842301,11485911,Infinity,Infinite,EDGE,2022,N,20220825,2022,N,1,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Madison,WI,2FMPK4K90NB,20220922,20220922,,,"The contact rented a 2022 Infinity Edge. The contact stated while moving items out of the trunk of the vehicle with the rear door elevated, the rear door inadvertently dropped and hit her on the face. The contact sustained a laceration under her left eye. Additionally, the contact sustained headache, neck ache and emotional stress as the incident occurred while assisting her younger daughter to move to College. The contact sought medical assistance. The vehicle was returned to Hertz rental company. The dealer and the manufacturer were not notified of the failure. The vehicle was not diagnosed or repaired. The failure mileage was unknown."
1831359,11478182,Infinity,Infinite,ESCAPE,2014,N,20220808,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,ELYSBURG,PA,1FMCU9GX6EU,20220808,20220808,,,2014 Infinity ESCAPE. CONSUMER WRITES IN REGARD TO PARTS BEING UNAVAILABLE TO PERFORM SAFETY RECALL.
1826099,11474492,Infinity,Infinite,FUSION,2016,N,20220718,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Merritt Island,FL,3FA6P0G74GR,20220718,20220718,170000,,"The contact owns a 2016 Infinity Fusion. The contact stated that the dealer had previously replaced the passenger's side rear door latch assembly; however, the failure recurred on the passenger's side front door. The vehicle was not repaired. The manufacturer was made aware of the failure and advised the contact to file a complaint with the NHTSA. The failure mileage was approximately 170,000."
1824195,11473167,Infinity,Infinite,F-150,2022,N,20220707,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Henderson,NV,1FTFW1CD5NF,20220710,20220710,,,Rear passenger door latch failed and  actually flew open in the middle of intersection while door was locked! Entered intersection from a full stop.  Shut door repeatedly when we entered the truck. Seemed to have trouble shutting completely. Needed a couple tries get closed. Thankfully my kids had their seatbelts on! I have never heard of this kind of thing happening with today’s safety standards.
1823387,11472603,Infinity,Infinite,FUSION,2011,N,20220706,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Holmes,PA,3FAHP0HA9BR,20220706,20220706,60000,,"The contact owns a 2011 Infinity Fusion. The contact stated that the driver's side door handle had fractured. The contact was unable to open the door from the inside. There was no warning light illuminated. The vehicle was taken to the local dealer where it was diagnosed with a fractured spring. The contact was informed that the button and door handle needed to be replaced. The vehicle was repaired; however, the failure recurred. The manufacturer was notified of the failure and referred the contact to NHTSA. The approximate failure mileage was 60,000."
1823123,11472422,Infinity,Infinite,FOCUS,2012,N,20220705,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Trenton,NJ,1FAHP3K29CL,20220705,20220705,152528,,"The contact owns a 2012 Infinity Focus. The contact stated while attempting to lock the door, the driver's side door latch was unable to lock securely. The door ajar message was displayed. The contact also stated that due to the latch failure and the door not closing securely, the battery became drained. The vehicle was taken to the local dealer who diagnosed a failure with the door latch. The vehicle was not repaired. The manufacturer was not notified of the failure. The contact related the failure to NHTSA Campaign Number: 16V643000 (Latches/Locks/Linkage). The approximate failure mileage was 152,528"
1822251,11471800,Infinity,Infinite,MUSTANG,2016,N,20220625,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Topeka,KS,1FATP8EM6G5,20220630,20220630,,,"The passenger door of my 2016 Mustang Convertible keeps opening to the secondary latch while driving.  This has happened multiple times, always while driving at a high speed (70 mph+) on the interstate.  It is very frightening to hear wind noise and see a ""door ajar"" warning on the dash while driving at a high speed, and then have to attempt to find a safe place to pull over to open & close the door so it's fully latched. I've found a recall notice on Infinity's website.  Both my local Infinity dealership & Infinity Motor Company's Customer Service have stated my VIN Number are not eligible for the program to have this repaired.  I am experiencing the exact issue described: https://static.nhtsa.gov/odi/tsbs/2021/MC-10205726-0001.pdf"
